source,target,weight
KAROL G,Daddy Yankee,2
KAROL G,Mariah Angeliq,2
Tiësto,21 Savage,4
Feid,Nicky Jam,2
Feid,Yandel,3
Feid,Tainy,4
Feid,Lenny Tavárez,5
Feid,Sech,3
Feid,Dalex,2
Feid,Maxiolly,2
Feid,Álvaro Díaz,2
Feid,De La Ghetto,2
Ovy on the Drums,Beéle,3
Maluma,Prince Royce,2
Daddy Yankee,Nicky Jam,3
Daddy Yankee,Yandel,2
Daddy Yankee,Tainy,2
Daddy Yankee,Play‐N‐Skillz,5
Mariah Angeliq,IAmChino,3
Nicky Jam,Michael “El Prospecto”,3
Nicky Jam,Dalex,2
Nicky Jam,Sech,2
Nicky Jam,Lenny Tavárez,2
Nicky Jam,Mau y Ricky,2
Nicky Jam,Ken-Y,2
Nicky Jam,Fuego,2
Nicky Jam,Beéle,3
Lenny Tavárez,Beéle,3
Yandel,Tainy,7
Yandel,Saiko,3
Yandel,Pitbull,2
Yandel,Alex Sensation,2
Yandel,LATIN MAFIA,2
Tainy,Rauw Alejandro,5
Tainy,Álvaro Díaz,5
Tainy,Kris Floyd,4
Tainy,Chencho Corleone,3
Tainy,benny blanco,2
Tainy,Selena Gomez,2
Tainy,Maroon 5,1
Pitbull,Fuego,6
Pitbull,Juan Magán,7
Pitbull,Akon,3
Pitbull,Michel Teló,6
Pitbull,Play‐N‐Skillz,9
Pitbull,A‐Roma,3
Pitbull,David Rush,22
Pitbull,IAmChino,30
Pitbull,Prince Royce,3
Pitbull,Nicola Fasano,6
Pitbull,Mohombi,6
Pitbull,R.J.,2
Pitbull,Vein,2
Pitbull,Chacal,3
Pitbull,Michael Jackson,2
Pitbull,Jennifer Lopez,2
Pitbull,Alexandra Burke,2
Chencho Corleone,Chris Jedi,2
benny blanco,Khalid,2
benny blanco,BTS,3
Selena Gomez,Prince Royce,2
Lunay,Chris Jedi,3
Lunay,Beéle,2
The Weeknd,Metro Boomin,2
The Weeknd,Oneohtrix Point Never,4
The Weeknd,Threat,2
The Weeknd,toasty digital,2
The Weeknd,Frank Ocean,3
The Weeknd,The Sevenights,12
The Weeknd,Giorgio Moroder,1
The Weeknd,Diddy,1
The Weeknd,21 Savage,1
The Weeknd,Max B,1
The Weeknd,Jesse Boykins III,1
The Weeknd,Belly,1
The Weeknd,Dua Lipa,1
Young Thug,Metro Boomin,2
Young Thug,DJ Esco,5
Young Thug,Rich Homie Quan,3
Young Thug,Lil Duke,3
Young Thug,Migos,3
Young Thug,Nicki Minaj,2
Young Thug,Wicced,2
Young Thug,Jacquees,2
Young Thug,Kid Cudi,2
Young Thug,Gunna,2
Doe Boy,DJ Esco,11
Juice WRLD,Nicki Minaj,5
Juice WRLD,Marshmello,2
Juice WRLD,Maroon 5,1
Juice WRLD,Trippie Redd,2
Lil Baby,Central Cee,2
Metro Boomin,NAV,5
Metro Boomin,21 Savage,4
Metro Boomin,Swae Lee,4
Metro Boomin,Gunna,2
Metro Boomin,Offset,2
Metro Boomin,Lil Uzi Vert,2
Metro Boomin,Don Toliver,2
Lil Durk,A Boogie Wit da Hoodie,4
Consequence,John Legend,4
toasty digital,Frank Ocean,5
toasty digital,Kendrick Lamar,5
toasty digital,Playboi Carti,3
toasty digital,JAY‐Z,3
toasty digital,Kid Cudi,3
John Legend,Rihanna,1
John Legend,Stacy Barthe,3
John Legend,Ryan Leslie,3
John Legend,Jacob Collier,2
Frank Ocean,"Tyler, The Creator",6
Frank Ocean,JAY‐Z,3
Frank Ocean,Underworld,2
Frank Ocean,Kendrick Lamar,2
Ne‐Yo,Calvin Harris,1
Ne‐Yo,Ghostface Killah,6
Ne‐Yo,Mariah Carey,3
Ne‐Yo,Dionne Warwick,2
Ne‐Yo,JasonMartin,2
Ne‐Yo,Flo Rida,2
Fat Joe,Poo Bear,2
Fat Joe,Birdman,2
Fat Joe,DJ Khaled,3
Max B,Jim Jones,5
Max B,Stack Bundles,3
Max B,Kurious,2
Max B,NOE,2
Max B,Matisyahu,2
Max B,Al Pac,2
Max B,Mack Mustard,2
Max B,Isaiah Toothtaker,2
