artist1,artist2
Alexio,Sou el Flotador
Pusho,Bad Bunny
Pusho,Sou el Flotador
Bad Bunny,Sou el Flotador
Wisin & Yandel,Bad Bunny
Cardi B,Bad Bunny
Cardi B,J Balvin
Bad Bunny,J Balvin
Drake,Bad Bunny
Cardi B,Bad Bunny
Cardi B,J Balvin
Bad Bunny,J Balvin
Enrique Iglesias,Bad Bunny
Cardi B,Bad Bunny
Cardi B,J Balvin
Bad Bunny,J Balvin
Cardi B,Bad Bunny
Cardi B,J Balvin
Bad Bunny,J Balvin
Drake,Bad Bunny
Bad Bunny,Ñengo Flow
Enrique Iglesias,Bad Bunny
Bad Bunny,Ñengo Flow
Bad Bunny,Jantony
Bad Bunny,Brytiago
Jantony,Brytiago
Bad Bunny,Marc Anthony
Bad Bunny,Will Smith
Marc Anthony,Will Smith
Noriel,Almighty
Noriel,Ozuna
Noriel,Bad Bunny
Noriel,Arcángel & De La Ghetto
Noriel,Wisin
Almighty,Ozuna
Almighty,Bad Bunny
Almighty,Arcángel & De La Ghetto
Almighty,Wisin
Ozuna,Bad Bunny
Ozuna,Arcángel & De La Ghetto
Ozuna,Wisin
Bad Bunny,Arcángel & De La Ghetto
Bad Bunny,Wisin
Arcángel & De La Ghetto,Wisin
Mora,Bad Bunny
Bad Bunny,Pablo Chill‐E
Bad Bunny,Duki
Pablo Chill‐E,Duki
Cardi B,Bad Bunny
Cardi B,J Balvin
Bad Bunny,J Balvin
Noriel,Miky Woodz
Noriel,Farruko
Noriel,Benny Benni
Noriel,Pusho
Noriel,Bad Bunny
Noriel,Daddy Yankee
Miky Woodz,Farruko
Miky Woodz,Benny Benni
Miky Woodz,Pusho
Miky Woodz,Bad Bunny
Miky Woodz,Daddy Yankee
Farruko,Benny Benni
Farruko,Pusho
Farruko,Bad Bunny
Farruko,Daddy Yankee
Benny Benni,Pusho
Benny Benni,Bad Bunny
Benny Benni,Daddy Yankee
Pusho,Bad Bunny
Pusho,Daddy Yankee
Bad Bunny,Daddy Yankee
Enrique Iglesias,Bad Bunny
Almighty,J Álvarez
Almighty,Bad Bunny
J Álvarez,Bad Bunny
Mambo Kingz,DJ Luian
Mambo Kingz,Farruko
Mambo Kingz,Arcángel
Mambo Kingz,Ozuna
