artist,success_score
Mike Stern,0.06232366385419072
Emmy Raver-Lampman,0.06229927529349387
Andris Nelsons,0.06197366037980287
Rozalén,0.061519911442765945
Lecrae,0.061420560149130915
DJ Candlestick,0.06141789696141346
Hans Zimmer,0.061390444038510066
Carlos Vives,0.06128189829216896
Alok,0.06087872286940484
RZA,0.06009646929381324
Fred again..,0.05988286488585879
Sheryl Crow,0.05977457894084126
Anthony Rapp,0.059114130967792396
D‐Gotti,0.058391617407891415
Sigala,0.058386470227396854
Judge Jules,0.05823865902052316
Max Roach,0.058050978305565555
Orchestra of the Age of Enlightenment,0.05797700544804619
Sebastian Ingrosso,0.057962864226335634
The Wreckshop Family,0.057829568312964964
Paul Oakenfold,0.057667857333339206
Roland Clark,0.05748052797417825
Bryce Dessner,0.05707482163918654
Erick Morillo,0.056127559022573395
Africa Express,0.056036354634460155
Adam Pascal,0.05594542195563282
Tion Wayne,0.05591035428716775
DJ Fresh,0.055742948059819844
Anna Kendrick,0.05546288415195821
Killa Tay,0.0554541110617026
Noyz Narcos,0.05543880838730404
Zedd,0.05542525631620246
Dreamville,0.055244434018841444
Breez Evahflowin,0.055114547628553015
I‐Rocc,0.054829822091308364
Dennis Chambers,0.05481808984483223
Orchestre de l’Opéra de Rouen Normandie,0.053371499706825205
Lorie,0.05316659323064352
Mav City Gospel Choir,0.05288460790197077
Phonte,0.05282491848786083
Meyhem Lauren,0.05274432347771159
鏡音レン,0.052668662563058695
Kris Kristofferson,0.05260736947404427
Georgi Kay,0.052493104747363344
MC GW,0.0520572127017613
鏡音リン,0.05116227979879029
Tanglewood Festival Chorus,0.05104409881099634
Seven Lions,0.05103696017686308
Sheridan Smith,0.05058274005292031
初音ミク,0.050153446143188535
Iván Fischer,0.04993826553825304
Paul Rogers,0.04988288066875742
Vittorio Gui,0.04980366143586357
The Heritage Orchestra,0.04953958882379622
Tchami,0.04904350051958241
Xamã,0.048451868348439085
James Carter,0.048093928060112534
Nicola Fasano,0.04803619228878229
Summer Cem,0.04789559446542473
Aaron Dessner,0.0478510950380335
FVR1,0.04746891104632474
Alonzo,0.04737450884407836
Krizz Kaliko,0.04665132548808939
SLANDER,0.04664088114730144
Maîtrise de Radio France,0.04637371360354457
Bob’s Burgers,0.045940167115242195
Kad Merad,0.045348589453795836
Jonna Fraser,0.04447701801823221
Eshon Burgundy,0.04439594808123505
Ronnie Flex,0.04401309905857886
